!# time[s]	signal
0	0
16.4947	16.6209
33.3366	26.4321
50.5408	35.3652
68.123	43.3568
86.1004	49.8416
104.491	57.0742
123.314	64.1979
142.592	70.4138
160	74.4831
162.345	76.5121
182.598	81.817
203.377	87.9448
224.71	93.8005
246.628	98.7228
269.163	104.812
292.352	110.879
316.233	116.307
320	116.602
340.848	120.714
366.245	127.142
392.475	132.14
419.594	138.244
447.665	141.653
476.757	147.339
480	147.898
506.947	152.388
538.321	157.549
570.975	161.902
605.02	166.995
640	172.717
640.578	172.333
677.79	177.465
716.818	181.595
757.848	186.723
800	191.508
801.096	192.143
846.817	196.485
895.31	201.862
946.934	206.535
960	208.238
1002.12	211.759
1061.4	217.08
1120	220.736
1125.42	221.478
1195.01	226.702
1271.25	231.918
1280	232.24
1355.52	236.253
1440	240.832
1449.72	241.39
1556.51	246.434
1600	248.667
1679.79	252.413
1760	254.608
1825.59	257.767
1920	261.627
2004.01	263.964
2080	265.499
2234.01	270.287
2240	269.728
2400	273.374
2558.09	277.488
2560	276.037
2720	278.283
2880	280.785
3040	282.727
3111.72	285.276
3200	284.274
3360	285.391
3520	287.26
3680	288.062
3840	288.796
4000	290.335
4160	290.769
4320	291.403
4480	292.407
4640	294.355
4800	294.021
4960	294.26
5120	295.107
5280	294.602
5440	296.766
5600	296.314
5760	295.945
5920	297.254
6080	296.752
6240	298.166
6400	297.586
6560	297.506
6720	298.438
6880	298.142
7040	297.798
7200	298.03
7360	297.506
7520	297.357
7680	296.481
7840	297.092
8000	296.562
