!# time[s]	real	imag	abs
0.0001155	12.884	-0.514908	12.8943
0.0003465	14.6433	0.0787049	14.6435
0.0005775	13.0985	-0.078125	13.0988
0.0008085	12.8773	0.0733185	12.8775
0.0010395	12.3726	0.1801	12.3739
0.0012705	11.8929	-0.0942688	11.8933
0.0015015	11.6677	-0.0958252	11.6681
0.0017325	11.3021	0.0719757	11.3023
0.0019635	11.0155	-0.0336761	11.0156
0.0021945	10.7277	-0.0335236	10.7277
0.0024255	10.4726	0.181305	10.4742
0.0026565	10.2462	-0.103851	10.2467
0.0028875	9.77439	-0.00195313	9.77439
0.0031185	9.93132	-0.124756	9.93211
0.0033495	9.85758	-0.0137177	9.85759
0.0035805	9.55571	0.0412445	9.5558
0.0038115	9.46683	0.164917	9.46827
0.0040425	8.89313	-0.196198	8.89529
0.0042735	9.08422	-0.225372	9.08701
0.0045045	8.94032	-0.0825653	8.94071
0.0047355	8.6873	-0.136917	8.68838
0.0049665	8.88512	-0.0484772	8.88525
0.0051975	8.65701	0.028656	8.65706
0.0054285	8.16368	-0.0617066	8.16392
0.0056595	8.28366	-0.145645	8.28494
0.0058905	7.99344	-0.18071	7.99548
0.0061215	8.066	-0.011673	8.066
0.0063525	7.96147	0.0756683	7.96183
0.0065835	8.13654	0.0749817	8.13688
0.0068145	7.77823	-0.125076	7.77924
0.0070455	7.87874	0.0642853	7.879
0.0072765	7.71529	0.065918	7.71557
0.0075075	7.52364	0.137299	7.52489
0.0077385	7.59555	0.0770416	7.59594
0.0079695	7.30119	-0.123749	7.30224
0.0082005	7.22716	-0.11731	7.22811
0.0084315	7.33074	-0.0271454	7.33079
0.0086625	7.19609	0.156067	7.19778
0.0088935	6.97368	0.102325	6.97443
0.0091245	7.11229	0.133652	7.11355
0.0093555	6.6561	-0.0794525	6.65657
0.0095865	6.70186	-0.163605	6.70386
0.0098175	6.87749	-0.158264	6.87931
0.0100485	6.80356	0.0660706	6.80388
0.0102795	6.7298	0.0817566	6.7303
0.0105105	6.74916	0.000549312	6.74916
0.0107415	6.49208	-0.0912628	6.49272
0.0109725	6.33998	-0.0870972	6.34058
0.0112035	6.32109	-0.139389	6.32263
0.0114345	6.49065	-0.164536	6.49273
0.0116655	6.41222	0.119766	6.41334
0.0118965	6.28565	0.00843812	6.28565
0.0121275	6.05985	-0.162567	6.06203
0.0123585	6.14472	-0.0273438	6.14478
0.0125895	6.00499	-0.117065	6.00613
0.0128205	6.02251	-0.0116425	6.02252
0.0130515	5.9867	-0.00140381	5.9867
0.0132825	6.09017	-0.0387116	6.09029
0.0135135	5.70023	-0.192337	5.70347
0.0137445	5.8524	-0.00872803	5.85241
0.0139755	5.76813	0.140274	5.76983
0.0142065	5.72321	0.0265045	5.72327
0.0144375	5.6768	-0.0226746	5.67685
0.0146685	5.78331	0.0805664	5.78387
0.0148995	5.43468	-0.26207	5.44099
0.0151305	5.60968	0.0226898	5.60973
0.0153615	5.59371	-0.0188904	5.59374
0.0155925	5.54059	0.148315	5.54257
0.0158235	5.51909	0.103027	5.52005
0.0160545	5.32242	0.151703	5.32458
0.0162855	5.36907	-0.104202	5.37008
0.0165165	5.22551	-0.111694	5.2267
0.0167475	5.31673	-0.0202332	5.31677
0.0169785	5.43517	-0.137512	5.43691
